Subj,HappySad,Angry,Sat,LD,YB,RG,C,L,a,b
7,0,-100,45.25,-60.5,15.25,19.25,30,28.5,12.9901147341527,27.0417625016112
7,0,-97,-24,-83,-1.25,-44.75,30,28.5,-3.29199541847863,29.8188324078042
7,-15.5,-100,9.75,-60.25,0.75,-64,30,28.5,-13.2545851615735,26.9131189607336
7,24.25,-100,61.25,-61.75,-8.25,-81,30,28.5,-27.1268750756561,12.8114264869199
7,22,-100,60.25,-13.25,-49.25,-50,30,28.5,-29.9212461125982,-2.17233309354909
7,43,-100,100,-38.5,-100,-18.25,30,28.5,-12.5282012002909,-27.2588366348425
7,32,-100,31,-60.75,-66.25,32.75,30,28.5,20.7251019754716,-21.690323835902
8,-18.5,-24,-53.75,36.5,31,14.75,15,85.2073293165334,13.1808749824464,7.1599256069542
8,-25.75,-4.75,-51.75,17.75,10.75,9.5,15,85.2073293165334,6.4950573670764,13.5208812508056
8,-22.75,-37.75,-53.5,51.5,33.5,-13,15,85.2073293165334,-1.64599770923929,14.9094162039021
8,22.5,-44.75,-76.5,69.25,18.75,-42.75,15,85.2073293165334,-6.62729258078676,13.4565594803668
8,-5.5,-39.75,-48.25,61.75,18.25,-20,15,85.2073293165334,-13.563437537828,6.40571324345993
8,18.5,-19.25,-19,65.75,-12.25,-38.25,15,85.2073293165334,-14.9606230562991,-1.08616654677456
8,-7.75,-35.5,-30.25,26.25,-29,-27.75,15,85.2073293165334,-6.26410060014543,-13.6294183174212
8,-22.25,-21,-25,43.25,0.75,-0.5,15,85.2073293165334,10.3625509877359,-10.845161917951
8,39.5,5.5,5,-2,-13,34,30,85.2073293165334,26.3617499648928,14.3198512139084
8,9.5,-29.25,-13.75,37.5,13.5,0.75,30,85.2073293165334,12.9901147341528,27.0417625016112
8,-6.5,-2,-23.25,-23,79.25,2,30,85.2073293165334,-3.29199541847858,29.8188324078042
8,-24.5,-23.25,-20,27.25,52.25,-26.5,30,85.2073293165334,-13.2545851615735,26.9131189607336
8,-53.25,-28,-18.5,31.5,-26,-12.5,30,85.2073293165334,-27.126875075656,12.8114264869199
8,9.25,-24,-1.25,14.5,-34,-14.5,30,85.2073293165334,-29.9212461125982,-2.17233309354909
8,-14,-47,-3.75,-22.25,-53.5,-29.75,30,85.2073293165334,-12.5282012002909,-27.2588366348425
8,-8,-16.5,16.75,22.5,-20.25,-1.75,30,85.2073293165334,20.7251019754717,-21.690323835902
8,-27.75,1.75,8.5,-74.25,-12.75,37.5,15,28.5,13.1808749824464,7.1599256069542
8,-49.75,9,-5.75,-44.75,1,12.25,15,28.5,6.4950573670764,13.5208812508056
8,-72.25,-2.5,-17.75,-41.5,-1.5,-24.25,15,28.5,-1.64599770923929,14.9094162039021
8,-9,10.5,-2.5,-57.25,-29.75,-65.5,15,28.5,-6.62729258078673,13.4565594803668
8,-51.5,-12.75,31.25,-84.25,-19.5,-57,15,28.5,-13.563437537828,6.40571324345993
8,-18.25,4.25,18.25,-65.75,-26.5,-73.5,15,28.5,-14.9606230562991,-1.08616654677454
8,1,24.25,32.75,-60.5,-28.75,-66.75,15,28.5,-6.26410060014548,-13.6294183174212
8,-35.5,53.75,-16.25,-64.25,-24.5,-28,15,28.5,10.3625509877358,-10.845161917951
8,0,57.5,29.25,-65.75,-9.75,81,30,28.5,26.3617499648928,14.3198512139084
8,-3,4,10.75,-69.5,-6.25,33,30,28.5,12.9901147341527,27.0417625016112
8,-31.75,7.75,23.5,-39.25,-19.75,-58,30,28.5,-3.29199541847863,29.8188324078042
8,-31.75,6,21,-59.25,-25.25,-86,30,28.5,-13.2545851615735,26.9131189607336
8,12.75,13.5,40.5,-95.5,-67.5,-83.75,30,28.5,-27.1268750756561,12.8114264869199
8,7,11.25,37.75,-81,-30.5,-55,30,28.5,-29.9212461125982,-2.17233309354909
8,10.25,14,55.25,-64.75,-35.25,-40.75,30,28.5,-12.5282012002909,-27.2588366348425
8,-17.5,2,24.75,-70,-66,-45,30,28.5,20.7251019754716,-21.690323835902
9,39.75,-45.5,-51.75,51.5,14.5,46,15,85.2073293165334,13.1808749824464,7.1599256069542
9,6.75,-37.25,-79.75,87.5,27.5,28.25,15,85.2073293165334,6.4950573670764,13.5208812508056
9,-2,-79,-64.75,36.5,50.5,10.25,15,85.2073293165334,-1.64599770923929,14.9094162039021
9,-7.25,-49.25,-56.75,63,42.75,7.25,15,85.2073293165334,-6.62729258078676,13.4565594803668
9,-13.5,-4.25,-69.75,68.5,-24.75,-40.5,15,85.2073293165334,-13.563437537828,6.40571324345993
9,1,-34.75,-81.5,34,-59.5,-15.75,15,85.2073293165334,-14.9606230562991,-1.08616654677456
9,17.5,-45.25,-77.25,59.75,-73.5,-13.25,15,85.2073293165334,-6.26410060014543,-13.6294183174212
9,19.25,-44,-51.75,73.75,-16.75,27,15,85.2073293165334,10.3625509877359,-10.845161917951
9,89.75,-99.5,-37.5,37.75,18.25,34.5,30,85.2073293165334,26.3617499648928,14.3198512139084
9,67,-59,-44,44.25,46.5,43.25,30,85.2073293165334,12.9901147341528,27.0417625016112
9,34,-38.5,-38,35,82.5,5.25,30,85.2073293165334,-3.29199541847858,29.8188324078042
9,7.75,-20.5,-58,37,87.5,-17,30,85.2073293165334,-13.2545851615735,26.9131189607336
9,48.75,-47.25,-60,67.25,-31.5,-57,30,85.2073293165334,-27.126875075656,12.8114264869199
9,86.5,-79.25,-47.5,42,-82.75,-39,30,85.2073293165334,-29.9212461125982,-2.17233309354909
9,89.25,-91.25,-40.75,65.75,-100,-22.75,30,85.2073293165334,-12.5282012002909,-27.2588366348425
9,77.75,-86.5,-35,52,-23.75,36.5,30,85.2073293165334,20.7251019754717,-21.690323835902
9,-83.25,62.75,91.5,-33.5,8.25,21,15,28.5,13.1808749824464,7.1599256069542
9,-100,93,78.25,-53.75,13.25,-5.75,15,28.5,6.4950573670764,13.5208812508056
